Date,Hour,VehicleCount
2024-10-03,11,7
2024-10-03,12,2024-10-03 12:01:01,2024-10-03 13:00:00,256
2024-10-03,13,2024-10-03 13:00:00,2024-10-03 13:45:07,201
2024-10-03,13,2024-10-03 13:48:31,2024-10-03 14:00:00,57
2024-10-03,14,2024-10-03 14:00:00,2024-10-03 15:00:00,334
2024-10-03,15,2024-10-03 15:00:00,2024-10-03 15:26:03,136
2024-10-03,15,2024-10-03 15:28:01,2024-10-03 16:00:00,180
2024-10-03,16,2024-10-03 16:00:00,2024-10-03 17:00:00,207
2024-10-03,17,2024-10-03 17:00:00,2024-10-03 18:00:00,179
2024-10-03,18,2024-10-03 18:00:00,2024-10-03 19:00:00,209
2024-10-03,19,2024-10-03 19:00:00,2024-10-03 20:00:00,166
2024-10-03,20,2024-10-03 20:00:00,2024-10-03 21:00:00,109
2024-10-04,7,2024-10-04 07:17:56,2024-10-04 07:19:31,0
2024-10-04,7,2024-10-04 07:47:59,2024-10-04 07:49:32,1
2024-10-04,8,2024-10-04 08:01:02,2024-10-04 08:01:02,0
2024-10-04,8,2024-10-04 08:02:08,2024-10-04 09:00:00,189
2024-10-04,9,2024-10-04 09:00:00,2024-10-04 10:00:00,144
2024-10-04,10,2024-10-04 10:00:00,2024-10-04 11:00:00,207
2024-10-04,11,2024-10-04 11:00:00,2024-10-04 12:00:00,242
2024-10-04,12,2024-10-04 12:00:00,2024-10-04 13:00:00,240
2024-10-04,13,2024-10-04 13:00:00,2024-10-04 13:49:49,173
2024-10-04,13,2024-10-04 13:54:59,2024-10-04 14:00:00,27
2024-10-04,14,2024-10-04 14:00:00,2024-10-04 15:00:00,321
2024-10-04,15,2024-10-04 15:00:00,2024-10-04 15:27:04,111
2024-10-04,15,2024-10-04 15:27:50,2024-10-04 16:00:00,149
2024-10-04,16,2024-10-04 16:00:00,2024-10-04 16:10:53,55
